Delivery_ID,Order_ID,Courier_Partner,Delivery_Days,Delivery_Status
1,ORD100001,Blue Dart,3,Delivered
2,ORD100002,DTDC,4,Delivered
3,ORD100003,Ekart,5,Delivered
4,ORD100004,XpressBees,6,In Transit
5,ORD100005,Delhivery,7,Delivered
6,ORD100006,Blue Dart,2,Delivered
7,ORD100007,DTDC,3,Delivered
8,ORD100008,Ekart,4,Delivered
9,ORD100009,XpressBees,5,In Transit
10,ORD100010,Delhivery,6,Delivered
11,ORD100011,Blue Dart,7,Delivered
12,ORD100012,DTDC,2,Delivered
13,ORD100013,Ekart,3,Delivered
14,ORD100014,XpressBees,4,In Transit
15,ORD100015,Delhivery,5,Delivered
16,ORD100016,Blue Dart,6,Delivered
17,ORD100017,DTDC,7,Delivered
18,ORD100018,Ekart,2,Delivered
19,ORD100019,XpressBees,3,In Transit
20,ORD100020,Delhivery,4,Delivered
21,ORD100021,Blue Dart,5,Delivered
22,ORD100022,DTDC,6,Delivered
23,ORD100023,Ekart,7,Delivered
24,ORD100024,XpressBees,2,In Transit
25,ORD100025,Delhivery,3,Delivered
26,ORD100026,Blue Dart,4,Delivered
27,ORD100027,DTDC,5,Delivered
28,ORD100028,Ekart,6,Delivered
29,ORD100029,XpressBees,7,In Transit
30,ORD100030,Delhivery,2,Delivered
31,ORD100031,Blue Dart,3,Delivered
32,ORD100032,DTDC,4,Delivered
33,ORD100033,Ekart,5,Delivered
34,ORD100034,XpressBees,6,In Transit
35,ORD100035,Delhivery,7,Delivered
36,ORD100036,Blue Dart,2,Delivered
37,ORD100037,DTDC,3,Delivered
38,ORD100038,Ekart,4,Delivered
39,ORD100039,XpressBees,5,In Transit
40,ORD100040,Delhivery,6,Delivered
41,ORD100041,Blue Dart,7,Delivered
42,ORD100042,DTDC,2,Delivered
43,ORD100043,Ekart,3,Delivered
44,ORD100044,XpressBees,4,In Transit
45,ORD100045,Delhivery,5,Delivered
46,ORD100046,Blue Dart,6,Delivered
47,ORD100047,DTDC,7,Delivered
48,ORD100048,Ekart,2,Delivered
49,ORD100049,XpressBees,3,In Transit
50,ORD100050,Delhivery,4,Delivered
51,ORD100051,Blue Dart,5,Delivered
52,ORD100052,DTDC,6,Delivered
53,ORD100053,Ekart,7,Delivered
54,ORD100054,XpressBees,2,In Transit
55,ORD100055,Delhivery,3,Delivered
56,ORD100056,Blue Dart,4,Delivered
57,ORD100057,DTDC,5,Delivered
58,ORD100058,Ekart,6,Delivered
59,ORD100059,XpressBees,7,In Transit
60,ORD100060,Delhivery,2,Delivered
61,ORD100061,Blue Dart,3,Delivered
62,ORD100062,DTDC,4,Delivered
63,ORD100063,Ekart,5,Delivered
64,ORD100064,XpressBees,6,In Transit
65,ORD100065,Delhivery,7,Delivered
66,ORD100066,Blue Dart,2,Delivered
67,ORD100067,DTDC,3,Delivered
68,ORD100068,Ekart,4,Delivered
69,ORD100069,XpressBees,5,In Transit
70,ORD100070,Delhivery,6,Delivered
71,ORD100071,Blue Dart,7,Delivered
72,ORD100072,DTDC,2,Delivered
73,ORD100073,Ekart,3,Delivered
74,ORD100074,XpressBees,4,In Transit
75,ORD100075,Delhivery,5,Delivered
76,ORD100076,Blue Dart,6,Delivered
77,ORD100077,DTDC,7,Delivered
78,ORD100078,Ekart,2,Delivered
79,ORD100079,XpressBees,3,In Transit
80,ORD100080,Delhivery,4,Delivered
81,ORD100081,Blue Dart,5,Delivered
82,ORD100082,DTDC,6,Delivered
83,ORD100083,Ekart,7,Delivered
84,ORD100084,XpressBees,2,In Transit
85,ORD100085,Delhivery,3,Delivered
86,ORD100086,Blue Dart,4,Delivered
87,ORD100087,DTDC,5,Delivered
88,ORD100088,Ekart,6,Delivered
89,ORD100089,XpressBees,7,In Transit
90,ORD100090,Delhivery,2,Delivered
91,ORD100091,Blue Dart,3,Delivered
92,ORD100092,DTDC,4,Delivered
93,ORD100093,Ekart,5,Delivered
94,ORD100094,XpressBees,6,In Transit
95,ORD100095,Delhivery,7,Delivered
96,ORD100096,Blue Dart,2,Delivered
97,ORD100097,DTDC,3,Delivered
98,ORD100098,Ekart,4,Delivered
99,ORD100099,XpressBees,5,In Transit
100,ORD100100,Delhivery,6,Delivered
101,ORD100101,Blue Dart,7,Delivered
102,ORD100102,DTDC,2,Delivered
103,ORD100103,Ekart,3,Delivered
104,ORD100104,XpressBees,4,In Transit
105,ORD100105,Delhivery,5,Delivered
106,ORD100106,Blue Dart,6,Delivered
107,ORD100107,DTDC,7,Delivered
108,ORD100108,Ekart,2,Delivered
109,ORD100109,XpressBees,3,In Transit
110,ORD100110,Delhivery,4,Delivered
111,ORD100111,Blue Dart,5,Delivered
112,ORD100112,DTDC,6,Delivered
113,ORD100113,Ekart,7,Delivered
114,ORD100114,XpressBees,2,In Transit
115,ORD100115,Delhivery,3,Delivered
116,ORD100116,Blue Dart,4,Delivered
117,ORD100117,DTDC,5,Delivered
118,ORD100118,Ekart,6,Delivered
119,ORD100119,XpressBees,7,In Transit
120,ORD100120,Delhivery,2,Delivered
121,ORD100121,Blue Dart,3,Delivered
122,ORD100122,DTDC,4,Delivered
123,ORD100123,Ekart,5,Delivered
124,ORD100124,XpressBees,6,In Transit
125,ORD100125,Delhivery,7,Delivered
126,ORD100126,Blue Dart,2,Delivered
127,ORD100127,DTDC,3,Delivered
128,ORD100128,Ekart,4,Delivered
129,ORD100129,XpressBees,5,In Transit
130,ORD100130,Delhivery,6,Delivered
131,ORD100131,Blue Dart,7,Delivered
132,ORD100132,DTDC,2,Delivered
133,ORD100133,Ekart,3,Delivered
134,ORD100134,XpressBees,4,In Transit
135,ORD100135,Delhivery,5,Delivered
136,ORD100136,Blue Dart,6,Delivered
137,ORD100137,DTDC,7,Delivered
138,ORD100138,Ekart,2,Delivered
139,ORD100139,XpressBees,3,In Transit
140,ORD100140,Delhivery,4,Delivered
141,ORD100141,Blue Dart,5,Delivered
142,ORD100142,DTDC,6,Delivered
143,ORD100143,Ekart,7,Delivered
144,ORD100144,XpressBees,2,In Transit
145,ORD100145,Delhivery,3,Delivered
146,ORD100146,Blue Dart,4,Delivered
147,ORD100147,DTDC,5,Delivered
148,ORD100148,Ekart,6,Delivered
149,ORD100149,XpressBees,7,In Transit
150,ORD100150,Delhivery,2,Delivered
151,ORD100151,Blue Dart,3,Delivered
152,ORD100152,DTDC,4,Delivered
153,ORD100153,Ekart,5,Delivered
154,ORD100154,XpressBees,6,In Transit
155,ORD100155,Delhivery,7,Delivered
156,ORD100156,Blue Dart,2,Delivered
157,ORD100157,DTDC,3,Delivered
158,ORD100158,Ekart,4,Delivered
159,ORD100159,XpressBees,5,In Transit
160,ORD100160,Delhivery,6,Delivered
161,ORD100161,Blue Dart,7,Delivered
162,ORD100162,DTDC,2,Delivered
163,ORD100163,Ekart,3,Delivered
164,ORD100164,XpressBees,4,In Transit
165,ORD100165,Delhivery,5,Delivered
166,ORD100166,Blue Dart,6,Delivered
167,ORD100167,DTDC,7,Delivered
168,ORD100168,Ekart,2,Delivered
169,ORD100169,XpressBees,3,In Transit
170,ORD100170,Delhivery,4,Delivered
171,ORD100171,Blue Dart,5,Delivered
172,ORD100172,DTDC,6,Delivered
173,ORD100173,Ekart,7,Delivered
174,ORD100174,XpressBees,2,In Transit
175,ORD100175,Delhivery,3,Delivered
176,ORD100176,Blue Dart,4,Delivered
177,ORD100177,DTDC,5,Delivered
178,ORD100178,Ekart,6,Delivered
179,ORD100179,XpressBees,7,In Transit
180,ORD100180,Delhivery,2,Delivered
181,ORD100181,Blue Dart,3,Delivered
182,ORD100182,DTDC,4,Delivered
183,ORD100183,Ekart,5,Delivered
184,ORD100184,XpressBees,6,In Transit
185,ORD100185,Delhivery,7,Delivered
186,ORD100186,Blue Dart,2,Delivered
187,ORD100187,DTDC,3,Delivered
188,ORD100188,Ekart,4,Delivered
189,ORD100189,XpressBees,5,In Transit
190,ORD100190,Delhivery,6,Delivered
191,ORD100191,Blue Dart,7,Delivered
192,ORD100192,DTDC,2,Delivered
193,ORD100193,Ekart,3,Delivered
194,ORD100194,XpressBees,4,In Transit
195,ORD100195,Delhivery,5,Delivered
196,ORD100196,Blue Dart,6,Delivered
197,ORD100197,DTDC,7,Delivered
198,ORD100198,Ekart,2,Delivered
199,ORD100199,XpressBees,3,In Transit
200,ORD100200,Delhivery,4,Delivered
201,ORD100201,Blue Dart,5,Delivered
202,ORD100202,DTDC,6,Delivered
203,ORD100203,Ekart,7,Delivered
204,ORD100204,XpressBees,2,In Transit
205,ORD100205,Delhivery,3,Delivered
206,ORD100206,Blue Dart,4,Delivered
207,ORD100207,DTDC,5,Delivered
208,ORD100208,Ekart,6,Delivered
209,ORD100209,XpressBees,7,In Transit
210,ORD100210,Delhivery,2,Delivered
211,ORD100211,Blue Dart,3,Delivered
212,ORD100212,DTDC,4,Delivered
213,ORD100213,Ekart,5,Delivered
214,ORD100214,XpressBees,6,In Transit
215,ORD100215,Delhivery,7,Delivered
216,ORD100216,Blue Dart,2,Delivered
217,ORD100217,DTDC,3,Delivered
218,ORD100218,Ekart,4,Delivered
219,ORD100219,XpressBees,5,In Transit
220,ORD100220,Delhivery,6,Delivered
221,ORD100221,Blue Dart,7,Delivered
222,ORD100222,DTDC,2,Delivered
223,ORD100223,Ekart,3,Delivered
224,ORD100224,XpressBees,4,In Transit
225,ORD100225,Delhivery,5,Delivered
226,ORD100226,Blue Dart,6,Delivered
227,ORD100227,DTDC,7,Delivered
228,ORD100228,Ekart,2,Delivered
229,ORD100229,XpressBees,3,In Transit
230,ORD100230,Delhivery,4,Delivered
231,ORD100231,Blue Dart,5,Delivered
232,ORD100232,DTDC,6,Delivered
233,ORD100233,Ekart,7,Delivered
234,ORD100234,XpressBees,2,In Transit
235,ORD100235,Delhivery,3,Delivered
236,ORD100236,Blue Dart,4,Delivered
237,ORD100237,DTDC,5,Delivered
238,ORD100238,Ekart,6,Delivered
239,ORD100239,XpressBees,7,In Transit
240,ORD100240,Delhivery,2,Delivered
241,ORD100241,Blue Dart,3,Delivered
242,ORD100242,DTDC,4,Delivered
243,ORD100243,Ekart,5,Delivered
244,ORD100244,XpressBees,6,In Transit
245,ORD100245,Delhivery,7,Delivered
246,ORD100246,Blue Dart,2,Delivered
247,ORD100247,DTDC,3,Delivered
248,ORD100248,Ekart,4,Delivered
249,ORD100249,XpressBees,5,In Transit
250,ORD100250,Delhivery,6,Delivered
251,ORD100251,Blue Dart,7,Delivered
252,ORD100252,DTDC,2,Delivered
253,ORD100253,Ekart,3,Delivered
254,ORD100254,XpressBees,4,In Transit
255,ORD100255,Delhivery,5,Delivered
256,ORD100256,Blue Dart,6,Delivered
257,ORD100257,DTDC,7,Delivered
258,ORD100258,Ekart,2,Delivered
259,ORD100259,XpressBees,3,In Transit
260,ORD100260,Delhivery,4,Delivered
261,ORD100261,Blue Dart,5,Delivered
262,ORD100262,DTDC,6,Delivered
263,ORD100263,Ekart,7,Delivered
264,ORD100264,XpressBees,2,In Transit
265,ORD100265,Delhivery,3,Delivered
266,ORD100266,Blue Dart,4,Delivered
267,ORD100267,DTDC,5,Delivered
268,ORD100268,Ekart,6,Delivered
269,ORD100269,XpressBees,7,In Transit
270,ORD100270,Delhivery,2,Delivered
271,ORD100271,Blue Dart,3,Delivered
272,ORD100272,DTDC,4,Delivered
273,ORD100273,Ekart,5,Delivered
274,ORD100274,XpressBees,6,In Transit
275,ORD100275,Delhivery,7,Delivered
276,ORD100276,Blue Dart,2,Delivered
277,ORD100277,DTDC,3,Delivered
278,ORD100278,Ekart,4,Delivered
279,ORD100279,XpressBees,5,In Transit
280,ORD100280,Delhivery,6,Delivered
281,ORD100281,Blue Dart,7,Delivered
282,ORD100282,DTDC,2,Delivered
283,ORD100283,Ekart,3,Delivered
284,ORD100284,XpressBees,4,In Transit
285,ORD100285,Delhivery,5,Delivered
286,ORD100286,Blue Dart,6,Delivered
287,ORD100287,DTDC,7,Delivered
288,ORD100288,Ekart,2,Delivered
289,ORD100289,XpressBees,3,In Transit
290,ORD100290,Delhivery,4,Delivered
291,ORD100291,Blue Dart,5,Delivered
292,ORD100292,DTDC,6,Delivered
293,ORD100293,Ekart,7,Delivered
294,ORD100294,XpressBees,2,In Transit
295,ORD100295,Delhivery,3,Delivered
296,ORD100296,Blue Dart,4,Delivered
297,ORD100297,DTDC,5,Delivered
298,ORD100298,Ekart,6,Delivered
299,ORD100299,XpressBees,7,In Transit
300,ORD100300,Delhivery,2,Delivered
301,ORD100301,Blue Dart,3,Delivered
302,ORD100302,DTDC,4,Delivered
303,ORD100303,Ekart,5,Delivered
304,ORD100304,XpressBees,6,In Transit
305,ORD100305,Delhivery,7,Delivered
306,ORD100306,Blue Dart,2,Delivered
307,ORD100307,DTDC,3,Delivered
308,ORD100308,Ekart,4,Delivered
309,ORD100309,XpressBees,5,In Transit
310,ORD100310,Delhivery,6,Delivered
311,ORD100311,Blue Dart,7,Delivered
312,ORD100312,DTDC,2,Delivered
313,ORD100313,Ekart,3,Delivered
314,ORD100314,XpressBees,4,In Transit
315,ORD100315,Delhivery,5,Delivered
316,ORD100316,Blue Dart,6,Delivered
317,ORD100317,DTDC,7,Delivered
318,ORD100318,Ekart,2,Delivered
319,ORD100319,XpressBees,3,In Transit
320,ORD100320,Delhivery,4,Delivered
321,ORD100321,Blue Dart,5,Delivered
322,ORD100322,DTDC,6,Delivered
323,ORD100323,Ekart,7,Delivered
324,ORD100324,XpressBees,2,In Transit
325,ORD100325,Delhivery,3,Delivered
326,ORD100326,Blue Dart,4,Delivered
327,ORD100327,DTDC,5,Delivered
328,ORD100328,Ekart,6,Delivered
329,ORD100329,XpressBees,7,In Transit
330,ORD100330,Delhivery,2,Delivered
331,ORD100331,Blue Dart,3,Delivered
332,ORD100332,DTDC,4,Delivered
333,ORD100333,Ekart,5,Delivered
334,ORD100334,XpressBees,6,In Transit
335,ORD100335,Delhivery,7,Delivered
336,ORD100336,Blue Dart,2,Delivered
337,ORD100337,DTDC,3,Delivered
338,ORD100338,Ekart,4,Delivered
339,ORD100339,XpressBees,5,In Transit
340,ORD100340,Delhivery,6,Delivered
341,ORD100341,Blue Dart,7,Delivered
342,ORD100342,DTDC,2,Delivered
343,ORD100343,Ekart,3,Delivered
344,ORD100344,XpressBees,4,In Transit
345,ORD100345,Delhivery,5,Delivered
346,ORD100346,Blue Dart,6,Delivered
347,ORD100347,DTDC,7,Delivered
348,ORD100348,Ekart,2,Delivered
349,ORD100349,XpressBees,3,In Transit
350,ORD100350,Delhivery,4,Delivered
351,ORD100351,Blue Dart,5,Delivered
352,ORD100352,DTDC,6,Delivered
353,ORD100353,Ekart,7,Delivered
354,ORD100354,XpressBees,2,In Transit
355,ORD100355,Delhivery,3,Delivered
356,ORD100356,Blue Dart,4,Delivered
357,ORD100357,DTDC,5,Delivered
358,ORD100358,Ekart,6,Delivered
359,ORD100359,XpressBees,7,In Transit
360,ORD100360,Delhivery,2,Delivered
361,ORD100361,Blue Dart,3,Delivered
362,ORD100362,DTDC,4,Delivered
363,ORD100363,Ekart,5,Delivered
364,ORD100364,XpressBees,6,In Transit
365,ORD100365,Delhivery,7,Delivered
366,ORD100366,Blue Dart,2,Delivered
367,ORD100367,DTDC,3,Delivered
368,ORD100368,Ekart,4,Delivered
369,ORD100369,XpressBees,5,In Transit
370,ORD100370,Delhivery,6,Delivered
371,ORD100371,Blue Dart,7,Delivered
372,ORD100372,DTDC,2,Delivered
373,ORD100373,Ekart,3,Delivered
374,ORD100374,XpressBees,4,In Transit
375,ORD100375,Delhivery,5,Delivered
376,ORD100376,Blue Dart,6,Delivered
377,ORD100377,DTDC,7,Delivered
378,ORD100378,Ekart,2,Delivered
379,ORD100379,XpressBees,3,In Transit
380,ORD100380,Delhivery,4,Delivered
381,ORD100381,Blue Dart,5,Delivered
382,ORD100382,DTDC,6,Delivered
383,ORD100383,Ekart,7,Delivered
384,ORD100384,XpressBees,2,In Transit
385,ORD100385,Delhivery,3,Delivered
386,ORD100386,Blue Dart,4,Delivered
387,ORD100387,DTDC,5,Delivered
388,ORD100388,Ekart,6,Delivered
389,ORD100389,XpressBees,7,In Transit
390,ORD100390,Delhivery,2,Delivered
391,ORD100391,Blue Dart,3,Delivered
392,ORD100392,DTDC,4,Delivered
393,ORD100393,Ekart,5,Delivered
394,ORD100394,XpressBees,6,In Transit
