Product_ID,Product_Name,Category,Sub_Category,Brand,Selling_Price,Cost_Price
501,Sofa 1,Furniture,Sofa,Lumora,6690.99,4833
502,Sofa 2,Furniture,Sofa,Lumora,23612.77,13527
503,Sofa 3,Furniture,Sofa,Lumora,15508.42,11531
504,Sofa 4,Furniture,Sofa,Lumora,8893.36,7292
505,Sofa 5,Furniture,Sofa,Lumora,1201.58,930
506,Sofa 6,Furniture,Sofa,Lumora,11307.4,6634
507,Sofa 7,Furniture,Sofa,Lumora,15231.57,9002
508,Sofa 8,Furniture,Sofa,Lumora,14362.29,10329
509,Sofa 9,Furniture,Sofa,Lumora,5844.93,3292
510,Sofa 10,Furniture,Sofa,Lumora,10148.77,7545
511,Sofa 11,Furniture,Sofa,Lumora,9093.4,6912
512,Sofa 12,Furniture,Sofa,Lumora,15879.18,11058
513,Sofa 13,Furniture,Sofa,Lumora,2260.67,1345
514,Sofa 14,Furniture,Sofa,Lumora,14526.52,9967
515,Sofa 15,Furniture,Sofa,Lumora,15667.71,10924
516,Sofa 16,Furniture,Sofa,Lumora,16210.28,12429
517,Sofa 17,Furniture,Sofa,Lumora,8627.21,5712
518,Sofa 18,Furniture,Sofa,Lumora,10261.57,7666
519,Sofa 19,Furniture,Sofa,Lumora,20391.97,12133
520,Sofa 20,Furniture,Sofa,Lumora,11135.44,8761
521,Sofa 21,Furniture,Sofa,Lumora,16625.5,9952
522,Sofa 22,Furniture,Sofa,Lumora,23719.32,14312
523,Sofa 23,Furniture,Sofa,Lumora,8108.54,4763
524,Sofa 24,Furniture,Sofa,Lumora,5493.43,3105
525,Sofa 25,Furniture,Sofa,Lumora,4820.35,3838
526,Sofa 26,Furniture,Sofa,Lumora,1345.46,920
527,Sofa 27,Furniture,Sofa,Lumora,17954.79,10803
528,Sofa 28,Furniture,Sofa,Lumora,3658.59,3007
529,Sofa 29,Furniture,Sofa,Lumora,18454.85,12092
530,Sofa 30,Furniture,Sofa,Lumora,2762.11,1790
531,Sofa 31,Furniture,Sofa,Lumora,1503.9,914
532,Sofa 32,Furniture,Sofa,Lumora,4722.15,2638
533,Sofa 33,Furniture,Sofa,Lumora,17202.13,10895
534,Sofa 34,Furniture,Sofa,Lumora,8353.08,6367
535,Sofa 35,Furniture,Sofa,Lumora,19456.56,11190
536,Sofa 36,Furniture,Sofa,Lumora,7060.62,5364
537,Sofa 37,Furniture,Sofa,Lumora,19223.87,14270
538,Sofa 38,Furniture,Sofa,Lumora,22365.27,13279
539,Sofa 39,Furniture,Sofa,Lumora,11127,6694
540,Bed 1,Furniture,Bed,Lumora,13912.09,11301
541,Bed 2,Furniture,Bed,Lumora,3273.67,1859
542,Bed 3,Furniture,Bed,Lumora,13084.46,10779
543,Bed 4,Furniture,Bed,Lumora,17187.87,9992
544,Bed 5,Furniture,Bed,Lumora,3418.68,2317
545,Bed 6,Furniture,Bed,Lumora,13071.07,10263
546,Bed 7,Furniture,Bed,Lumora,3866.04,2823
547,Bed 8,Furniture,Bed,Lumora,4343.35,3459
548,Bed 9,Furniture,Bed,Lumora,14673.14,8597
549,Bed 10,Furniture,Bed,Lumora,18856.97,14234
550,Bed 11,Furniture,Bed,Lumora,3211.94,2149
551,Bed 12,Furniture,Bed,Lumora,1244.04,859
552,Bed 13,Furniture,Bed,Lumora,15040.52,8471
553,Bed 14,Furniture,Bed,Lumora,2320.81,1750
554,Bed 15,Furniture,Bed,Lumora,10516.2,7379
555,Bed 16,Furniture,Bed,Lumora,8907.2,5637
556,Bed 17,Furniture,Bed,Lumora,13290.62,7887
557,Bed 18,Furniture,Bed,Lumora,4751.53,3445
558,Bed 19,Furniture,Bed,Lumora,5468.81,3427
559,Bed 20,Furniture,Bed,Lumora,16955.25,10841
560,Bed 21,Furniture,Bed,Lumora,1289.38,1015
561,Bed 22,Furniture,Bed,Lumora,10985.83,6116
562,Bed 23,Furniture,Bed,Lumora,15144.69,8428
563,Bed 24,Furniture,Bed,Lumora,15783.1,10330
564,Bed 25,Furniture,Bed,Lumora,4682.89,3095
