Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Unit_Price,Discount_Pct,Sales_Amount,Cost_Amount,Profit,Payment_Mode,Salesperson_ID
ORD100001,2025-10-16,1502,558,1,5468.81,15,4648.49,3427.0,1221.49,Card,SP005
ORD100002,2024-04-14,1066,780,1,1815.46,15,1543.14,1173.0,370.14,UPI,SP003
ORD100003,2024-08-11,2150,620,5,19246.8,0,96234.0,69130.0,27104.0,Card,SP023
ORD100004,2025-10-27,1920,780,4,1815.46,10,6535.66,4692.0,1843.66,Wallet,SP009
ORD100005,2024-01-07,1570,582,4,20074.8,10,72269.28,47024.0,25245.28,Card,SP007
ORD100006,2024-12-10,1199,553,1,2320.81,15,1972.69,1750.0,222.69,COD,SP028
ORD100007,2024-12-18,2099,636,1,19776.6,15,16810.11,13648.0,3162.11,UPI,SP030
ORD100008,2025-01-22,2699,541,5,3273.67,10,14731.52,9295.0,5436.52,Wallet,SP029
ORD100009,2025-01-05,1094,796,2,6628.83,0,13257.66,11020.0,2237.66,Card,SP025
ORD100010,2024-10-23,1779,541,2,3273.67,5,6219.97,3718.0,2501.97,COD,SP015
ORD100011,2025-10-12,1728,687,2,11073.67,15,18825.24,17530.0,1295.24,Card,SP022
ORD100012,2024-09-30,2094,537,5,19223.87,5,91313.38,71350.0,19963.38,Card,SP006
ORD100013,2025-04-18,2403,695,3,22810.14,5,65008.9,44253.0,20755.9,COD,SP027
ORD100014,2024-02-27,1822,618,1,16111.42,10,14500.28,11088.0,3412.28,COD,SP003
ORD100015,2024-08-04,2343,791,3,11637.17,5,33165.93,25428.0,7737.93,Net Banking,SP013
ORD100016,2025-10-20,1286,735,2,4239.07,15,7206.42,6460.0,746.42,Card,SP024
ORD100017,2025-07-28,2839,776,3,8462.07,15,21578.28,14538.0,7040.28,Wallet,SP013
ORD100018,2025-01-05,1187,613,2,6029.04,15,10249.37,7952.0,2297.37,UPI,SP028
ORD100019,2024-04-22,2222,579,2,11524.05,15,19590.88,15288.0,4302.88,UPI,SP013
ORD100020,2025-01-25,2989,740,5,18615.53,10,83769.88,74690.0,9079.88,Wallet,SP028
ORD100021,2024-01-12,2575,559,5,16955.25,10,76298.62,54205.0,22093.62,COD,SP004
ORD100022,2024-10-27,1007,723,2,2875.64,20,4601.02,4318.0,283.02,COD,SP017
ORD100023,2024-07-01,2724,760,1,25551.84,10,22996.66,14674.0,8322.66,Wallet,SP020
ORD100024,2024-07-22,2105,579,3,11524.05,5,32843.54,22932.0,9911.54,Wallet,SP030
ORD100025,2024-01-01,1230,666,4,14578.16,0,58312.64,45792.0,12520.64,COD,SP029
ORD100026,2024-11-10,2799,623,1,7257.9,10,6532.11,4996.0,1536.11,Wallet,SP003
ORD100027,2024-03-28,1263,749,1,11369.25,5,10800.79,8743.0,2057.79,Net Banking,SP018
ORD100028,2024-06-18,2976,636,5,19776.6,15,84050.55,68240.0,15810.55,Card,SP030
ORD100029,2025-07-06,2376,603,3,17650.83,15,45009.62,40374.0,4635.62,COD,SP015
ORD100030,2025-06-13,1461,732,1,17440.7,5,16568.67,12609.0,3959.67,UPI,SP011
ORD100031,2024-01-22,1015,784,2,22591.15,5,42923.18,26968.0,15955.18,UPI,SP023
ORD100032,2025-10-08,2855,531,2,1503.9,5,2857.41,1828.0,1029.41,UPI,SP028
ORD100033,2024-12-04,1571,537,5,19223.87,5,91313.38,71350.0,19963.38,Net Banking,SP007
ORD100034,2025-07-06,1498,568,5,14717.03,15,62547.38,44420.0,18127.38,Net Banking,SP026
ORD100035,2025-02-20,2350,598,1,9927.07,0,9927.07,7214.0,2713.07,Net Banking,SP012
ORD100036,2025-03-09,2380,711,4,5194.14,0,20776.56,14412.0,6364.56,UPI,SP002
ORD100037,2025-02-16,1393,674,1,19913.65,5,18917.97,14801.0,4116.97,Card,SP018
ORD100038,2025-04-04,1571,572,4,5125.27,5,19476.03,16400.0,3076.03,Net Banking,SP008
