Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Amount
1,ORD100001,2025-10-23,Wrong Item,4648.49
2,ORD100011,2025-10-19,Size Issue,18825.24
3,ORD100021,2024-01-19,Customer Changed Mind,76298.62
4,ORD100031,2024-01-29,Late Delivery,42923.18
5,ORD100041,2024-08-13,Damaged,11733.97
6,ORD100051,2025-04-21,Wrong Item,8260.23
7,ORD100061,2024-11-18,Size Issue,9412.62
8,ORD100071,2024-05-05,Customer Changed Mind,14718.82
9,ORD100081,2025-05-08,Late Delivery,76041.92
10,ORD100091,2024-06-12,Damaged,13966.33
11,ORD100101,2025-11-05,Wrong Item,14962.95
12,ORD100111,2025-05-17,Size Issue,21895.16
13,ORD100121,2024-05-09,Customer Changed Mind,42786.65
14,ORD100131,2024-08-07,Late Delivery,23462.46
15,ORD100141,2024-02-18,Damaged,59039.91
16,ORD100151,2024-06-13,Wrong Item,26147.93
17,ORD100161,2025-11-08,Size Issue,9892.03
18,ORD100171,2024-03-23,Customer Changed Mind,26463.65
19,ORD100181,2025-05-15,Late Delivery,33166.89
20,ORD100191,2025-01-13,Damaged,3358.91
21,ORD100201,2025-05-12,Wrong Item,49406.2
22,ORD100211,2024-02-29,Size Issue,44724.38
23,ORD100221,2024-12-26,Customer Changed Mind,15540.93
24,ORD100231,2024-12-20,Late Delivery,9573.01
25,ORD100241,2025-06-04,Damaged,18206.86
26,ORD100251,2024-08-26,Wrong Item,2745.56
27,ORD100261,2024-08-22,Size Issue,56524.47
28,ORD100271,2025-01-11,Customer Changed Mind,97282.8
29,ORD100281,2025-12-16,Late Delivery,30921.67
30,ORD100291,2025-06-21,Damaged,52816.75
31,ORD100301,2025-08-31,Wrong Item,19585.48
32,ORD100311,2024-06-03,Size Issue,11538.59
33,ORD100321,2025-08-05,Customer Changed Mind,35023.7
34,ORD100331,2025-10-03,Late Delivery,43339.27
35,ORD100341,2025-04-04,Damaged,7302.35
36,ORD100351,2025-06-07,Wrong Item,53054.26
37,ORD100361,2025-03-08,Size Issue,50983.42
38,ORD100371,2025-02-02,Customer Changed Mind,18036.56
39,ORD100381,2025-06-24,Late Delivery,12092.22
40,ORD100391,2024-01-23,Damaged,15641.64
41,ORD100401,2024-03-08,Wrong Item,10696.67
42,ORD100411,2024-07-01,Size Issue,58438.76
43,ORD100421,2024-09-16,Customer Changed Mind,20128.74
44,ORD100431,2025-09-30,Late Delivery,5024.4
